# [O2]_0	Values[Sat_O2]	
0	0	
2	0.0030673	
4	0.00724706	
6	0.0111797	
8	0.0148147	
10	0.0181705	
12	0.0212735	
14	0.0241494	
16	0.0268215	
18	0.0293101	
20	0.0316333	
22	0.033807	
24	0.035845	
26	0.0377595	
28	0.0395616	
30	0.0412607	
32	0.0428654	
34	0.0443834	
36	0.0458214	
38	0.0471858	
40	0.0484818	
42	0.0497147	
44	0.0508888	
46	0.0520083	
48	0.0530769	
50	0.054098	
52	0.0550747	
54	0.0560098	
56	0.056906	
58	0.0577655	
60	0.0585907	
62	0.0593835	
64	0.0601458	
66	0.0608793	
68	0.0615856	
70	0.0622663	
72	0.0629226	
74	0.063556	
76	0.0641674	
78	0.0647582	
80	0.0653292	
82	0.0658815	
84	0.066416	
86	0.0669335	
88	0.0674349	
90	0.0679208	
92	0.068392	
94	0.0688491	
96	0.0692928	
98	0.0697236	
100	0.0701421	
