# [O2]	Values[Sat_O2]	
0	0	
0.320877	0.419781	
0.726105	0.818474	
2.27204	0.931989	
4.22949	0.942627	
6.21735	0.945662	
8.21157	0.947107	
10.2082	0.947956	
12.2059	0.948515	
14.2044	0.948912	
16.2032	0.949208	
18.2022	0.949438	
20.2015	0.949621	
22.2009	0.94977	
24.2004	0.949895	
26.2	0.95	
28.1996	0.950089	
30.1993	0.950167	
32.1991	0.950235	
34.1988	0.950295	
36.1986	0.950349	
38.1984	0.950396	
40.1982	0.950439	
42.1981	0.950478	
44.1979	0.950513	
46.1978	0.950545	
48.1977	0.950575	
50.1976	0.950602	
52.1975	0.950627	
54.1974	0.95065	
56.1973	0.950671	
58.1972	0.950691	
60.1972	0.95071	
62.1971	0.950728	
64.197	0.950744	
66.197	0.950759	
68.1969	0.950774	
70.1969	0.950787	
72.1968	0.9508	
74.1968	0.950812	
76.1967	0.950824	
78.1967	0.950835	
80.1966	0.950845	
82.1966	0.950855	
84.1965	0.950864	
86.1965	0.950873	
88.1965	0.950882	
90.1964	0.95089	
92.1964	0.950898	
94.1964	0.950905	
96.1963	0.950913	
